行业,公司名称,企业行业,职责描述,ONET0,desc0,dist0,score0,ONET1,desc1,dist1,score1,ONET2,desc2,dist2,score2,ONET3,desc3,dist3,score3,ONET4,desc4,dist4,score4
医疗健康 / 制药,皓元医药,制药,1.具体负责生物医药领域的行业热点追踪和调研，现有产品线的定期更新及维护。 2.?负责公司产品的市场推广的宣讲、展会等宣传活动。 3.?能根据产品的开发战略，协助市场部门策划推广和宣传活动。 4.?负责市场信息的反馈，为新品开发提供市场指导意见。 5.?负责协助产品销售数据、竞争对手的分析 6.?负责公司制定的销售策略的监督执行、负责销售团队的技术指导和培训工作 7.?负责产品售前售后技术支持。 8.?完成公司部门安排的其他任务。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9165812593938105,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.920576260916397,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9327622879318602,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9348465567618893,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9383119309666704,未评分
消费品 / 家电,海信集团,家电,1、负责冰冷洗物流发货计划制定及管理工作； 2、负责冰冷洗物流费用改善管理工作； 3、负责部门物流信息化等项目推进； 4、完成上级领导交办的其他工作。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9143108134889971,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9213635732178321,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9289418134808917,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9356096565733636,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9378607696776979,未评分
消费品 / 文娱用品/器材,东莞市天宇玩具制品有限公司,文娱用品/器材,1.负责区域物料仓库的日常运营管理，监督仓库服务方完整、合规履行服务中合同约定职责 2.负责区域物料仓库服务方的服务考评、执行考核结果、推动服务方的服务质量改善 3.协助制定或根据业务变化及时修订作业流程或提出修订建议并协助协调信息技术团队将新流程、新标准落实到作业现场 4.协助采购团队管理供应商依照交付计划完成向区域物料仓库的订单交付工作，包括采购订单交付计划执行监督、订单交付入仓预约、货物文件及数据完整性检查等 5.协助仓库现场处理各种交付异常并及时向相关方反馈处理意见 6.协助关务团队督促服务方及时按照出仓货物的实际情况缮制出口货物单证文件并提供给进出口业务执行人员 7.上级管理人员安排的其他任务,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9125498363394183,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9205710372217217,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9269029749056065,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9343712981535637,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9360993459240121,未评分
医疗健康 / 医疗器械,微创神通医疗科技(上海)有限公司,医疗器械,职责描述： - 学术传播者：学习疾病及产品知识，独立进行代理商培训； - 技术指导者：熟悉并了解手术过程、术式出现问题的解决方案，进行独立跟台，及应对术者术中出现的问题； - 策略谋划者：分析销售数据，制定客户开发方案； - 情报洞察者：获悉市场动向和竞争格局。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.910775117948555,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9196892963133151,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9259905983936856,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9343449356378614,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.935857323711501,未评分
消费品 / 工艺品,艾基埃(上海)珠宝科研检测有限公司,工艺品,1. 具有较强检测实践能力，能独立开展检测工作。 2. 熟悉检测流程，对检测技术和结果进行把控。 3. 实验室日常事务的处理及维护。 4. 完成上级交办的其他工作。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9125218141206923,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9206951684805225,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9276414381729315,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9360871039059433,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.937724261037749,未评分
医疗健康 / 制药,皓元医药,制药,1.具体负责生物医药领域的行业热点追踪和调研，现有产品线的定期更新及维护。 2.?负责公司产品的市场推广的宣讲、展会等宣传活动。 3.?能根据产品的开发战略，协助市场部门策划推广和宣传活动。 4.?负责市场信息的反馈，为新品开发提供市场指导意见。 5.?负责协助产品销售数据、竞争对手的分析 6.?负责公司制定的销售策略的监督执行、负责销售团队的技术指导和培训工作 7.?负责产品售前售后技术支持。 8.?完成公司部门安排的其他任务。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9116243827535072,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9205312697088245,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9253211975565916,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9338354878939457,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9339111797353149,未评分
消费品 / 家电,海信集团,家电,1、负责分渠道厂直发规划； 2、负责分渠道分公司配车发货； 3、负责物流费管理及物流费、仓储费费用分析。,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9109450484012592,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9198521939954347,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9245915060931542,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9320234144848282,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.932856365608823,未评分
消费品 / 工艺品,浙江运发控股集团有限公司,工艺品,1、根据区域内的销售任务，制定业务推进计划和营销方推广方案，带领所管辖区域内的人员实现销售目标； 2、负责所管辖区域省行的产品经理、一级行和各重点分行，做好与行长和网点主任的关系维护、业务对接、洽谈、沟通的工作，确保各类营销工作的有效落地； 3、负责培训、指导、跟进、和带领所辖区域人员提升业务技能和开展各类业务工作，帮助员工开展与理财经理业务沟通和关系维护的工作； 4、协助公司管理和控制所辖区域人员的各类业务费用；,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9109450484012592,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9198521939954347,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9245915060931542,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9320234144848282,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.932856365608823,未评分
医疗健康 / 制药,上海环码生物医药有限公司,制药,1. 按生产文件的要求和设备操作SOP进行生产； 2. 根据要求完成工艺开发和生产操作，数据纪录与分析处理，按规定定期汇报工作； 3. 定期参加岗位技能培训，提升操作技能； 4. 依照安全作业规范执行，减少安全隐患； 5. 完成领导交代的其他工作；,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9127201941075267,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9207326665766293,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9257607591855181,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9331451798059837,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9338427484798253,未评分
消费品 / 文娱用品/器材,东莞市天宇玩具制品有限公司,文娱用品/器材,1.全面主持公司产品研发和技术管理工作，规划公司技术发展路线和新产品研发，实现公司技术创新目标； 2.统筹产品规划、产品研发、业务流程设计、功能设计、产品优化等工作； 3.完成各类玩具产品结构的研发、设计和创新，实现公司产品在结构上持续优化、持续创新； 4.制定产品的开发目标，把控产品开发项目周期和进度把控； 5.关注行业的发展、市场需求、用户反馈和产品功能，并进行调研分析，提供应对方案，改进相关产品，提升用户体验，提高用户活跃度和用户转化率； 6.负责产品生命周期的管理，定期进行效益评估，包括产品改进、产品线延伸及淘汰方案；,41-1011.00,在一个零售单位或部门直接监督和协调零售销售人员的活动。职责可能包括管理职能，如采购、预算、会计和人事工作，以及监督职责。,0.9127201941075267,未评分,13-1081.00,分析和协调公司或组织的持续物流职能。负责产品的整个生命周期，包括采购、分配、内部配置、交付和最终资源处理。,0.9207326665766293,未评分,11-2022.00,规划、指导或协调产品或服务实际的分销或运输到客户。通过设立销售领域、配额和目标以及为销售代表建立培训计划来协调销售分销。分析员工收集的销售统计数据，以确定销售潜力和库存需求，并监控客户的偏好。,0.9257607591855181,未评分,43-5061.00,根据生产计划，协调和加快设施各部门内或部门之间工作和物资的流动。职责包括审核和分发生产、工作和发货时间表；与部门主管讨论工作进展和完成日期；汇编工作进展、库存水平、成本和生产问题的报告。,0.9331451798059837,未评分,13-1081.02,分析产品交付或供应链流程，以确定或建议变更。可能负责管理路线活动，包括开具发票、电子账单和货物跟踪。,0.9338427484798253,未评分
